code,version,start_date,duration_years,application_unit_of_measurement,ratePerUnitGbp,ratePerAgreementPerYearGbp,land_cover_class_codes,rules,is_active,last_updated_at
CMOR1,1,2025-01-01,3,ha,10.6,272,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",FALSE,now()
UPL1,1,2025-01-01,3,ha,20,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",FALSE,now()
UPL2,1,2025-01-01,3,ha,53,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",FALSE,now()
UPL3,1,2025-01-01,3,ha,66,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",FALSE,now()
UPL4,1,2025-01-01,3,ha,7,0,[],[],TRUE,now()
UPL5,1,2025-01-01,3,ha,18,0,[],[],TRUE,now()
UPL6,1,2025-01-01,3,ha,23,0,[],[],TRUE,now()
UPL7,1,2025-01-01,3,ha,33,0,[],[],TRUE,now()
UPL8,1,2025-01-01,3,ha,43,0,[],[],TRUE,now()
UPL9,1,2025-01-01,3,ha,45,0,[],[],TRUE,now()
SPM4,1,2025-01-01,3,ha,7,0,[],[],TRUE,now()
SPM5,1,2025-01-01,3,ha,11,0,[],[],TRUE,now()
SAM1,1,2025-01-01,3,ha,6,97,[],[],TRUE,now()
OFM3,1,2025-01-01,3,ha,97,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]",[],TRUE,now()
CSAM1,1,2025-01-01,3,ha,6,97,"[""110"",""111"",""112"",""117"",""118"",""121"",""130"",""131"",""140"",""141"",""142"",""143""]",[],TRUE,now()
CMOR1,2,2025-01-01,3,ha,10.6,272,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",TRUE,now()
UPL1,3,2025-01-01,3,ha,66,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""sssi-consent-required"",""config"":{""layerName"":""sssi"",""tolerancePercent"":1,""caveatDescription"":""A consent is required from Natural England""}},{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",TRUE,now()
UPL2,3,2025-01-01,3,ha,66,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""sssi-consent-required"",""config"":{""layerName"":""sssi"",""tolerancePercent"":1,""caveatDescription"":""A consent is required from Natural England""}},{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",TRUE,now()
UPL3,3,2025-01-01,3,ha,66,0,"[""130"",""240"",""250"",""270"",""280"",""300"",""330"",""580"",""590"",""620"",""640"",""650""]","[{""name"":""sssi-consent-required"",""config"":{""layerName"":""sssi"",""tolerancePercent"":1,""caveatDescription"":""A consent is required from Natural England""}},{""name"":""parcel-has-intersection-with-data-layer"",""config"":{""layerName"":""moorland"",""minimumIntersectionPercent"":50,""tolerancePercent"":1}},{""name"":""applied-for-total-available-area""}]",TRUE,now()
