OPTION CODE,OPTION CODE COMPAT,TYPE,DESCRIPTION,YEAR
CMOR1,AB1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB10,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB11,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB12,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB13,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB14,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB15,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB16,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB4,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB5,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB6,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB7,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB8,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,AB9,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE4,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE5,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE6,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,BE7,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT4,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT5,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,CT6,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,ED1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS10,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS11,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS12,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS13,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS14,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS15,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS16,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS17,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS4,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS5,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS6,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS7,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS8,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,GS9,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS6,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS7,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS8,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,HS9,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,LH1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,LH2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,LH3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,OP1,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,OP2,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,OP3,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,OP4,BASECO,Options are compatible at LAND USE LEVEL,2025
CMOR1,OP5,BASECO,Options are compatible at LAND USE LEVEL,2025
