OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB1,ABS01,TEMPORARY GRASS BUFFER STRIP ,,
AB1,ABS02,SOWN MIXED COVER BUFFER STRIP ,,
AB1,ABS03,FALLOW BUFFER STRIP,,
AB1,AC01,BARLEY - SPRING,,
AB1,AC02,BASIL ,,
AB1,AC03,BEET ,,
AB1,AC04,BORAGE ,,
AB1,AC05,BUCKWHEAT ,,
AB1,AC06,CANARY SEED ,,
AB1,AC07,CARROT ,,
AB1,AC08,CELERY ,,
AB1,AC09,CHICORY ,,
AB1,AC10,DAFFODIL ,,
AB1,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
AB1,AC11,DILL ,,
AB1,AC12,EVENING PRIMROSE ,,
AB1,AC13,FENNEL ,,
AB1,AC14,HEMP ,,
AB1,AC15,LETTUCE ,,
AB1,AC16,LINSEED - SPRING,,
AB1,AC17,MAIZE ,,
AB1,AC18,MILLET ,,
AB1,AC19,OATS - SPRING,,
AB1,AC20,ONIONS ,,
AB1,AC200,TEMPORARY ARABLE LAND USE CODE,,
AB1,AC21,OREGANO ,,
AB1,AC22,PARSLEY ,,
AB1,AC23,PARSNIPS ,,
AB1,AC24,RYE - SPRING,,
AB1,AC25,SAGE ,,
AB1,AC26,SPINACH ,,
AB1,AC27,STRAWBERRY ,,
AB1,AC28,SWEET POTATO ,,
AB1,AC29,THYME ,,
AB1,AC30,TRITICALE - SPRING,,
AB1,AC31,TULIP ,,
AB1,AC32,WHEAT - SPRING,,
AB1,AC33,YAM ,,
AB1,AC34,CABBAGE - SPRING,,
AB1,AC35,TURNIP ,,
AB1,AC36,OILSEED - SPRING,,
AB1,AC37,BROWN MUSTARD ,,
AB1,AC38,MUSTARD ,,
AB1,AC39,CRAMBE ,,
AB1,AC40,ROCKET ,,
AB1,AC41,RADISH ,,
AB1,AC42,HORSERADISH ,,
AB1,AC43,TOBACCO ,,
AB1,AC44,POTATO ,,
AB1,AC45,TOMATO ,,
AB1,AC46,AUBERGINE ,,
AB1,AC47,PEPPER ,,
AB1,AC48,CHILLI ,,
AB1,AC49,TREE CHILLI ,,
AB1,AC50,SQUASH ,,
AB1,AC51,JAPANESE PIE SQUASH ,,
AB1,AC52,SIAM PUMPKIN ,,
AB1,AC53,BANANA SQUASH ,,
AB1,AC54,BUTTERNUT SQUASH ,,
AB1,AC55,WATER MELON ,,
AB1,AC56,CUCUMBER ,,
AB1,AC57,MELON ,,
AB1,AC58,MIXED CROP - GROUP 1,,
AB1,AC59,MIXED CROP - GROUP 2,,
AB1,AC60,MIXED CROP - GROUP 3,,
AB1,AC61,MIXED CROP - GROUP 4,,
AB1,AC62,MIXED CROP - GROUP 5,,
AB1,AC63,BARLEY - WINTER,,
AB1,AC64,LINSEED - WINTER,,
AB1,AC65,OATS - WINTER,,
AB1,AC66,WHEAT - WINTER,,
AB1,AC67,OILSEED - WINTER,,
AB1,AC68,RYE - WINTER,,
AB1,AC69,TRITICALE - WINTER,,
AB1,AC70,CABBAGE - WINTER,,
AB1,AC71,CORIANDER,,
AB1,AC72,CORN GROMWELL,,
AB1,AC73,CAMELINA,,
AB1,AC74,PHACELIA,,
AB1,AC75,OCA,,
AB1,AC76,GERMAN CHAMOMILE,,
AB1,AC77,CORN CHAMOMILE,,
AB1,AC78,CORN COCKLE,,
AB1,AC79,CORN FLOWER,,
AB1,AC80,CORN MARIGOLD,,
AB1,AC81,POPPY,,
AB1,AC82,FIELD FOR-GET-ME-NOT,,
AB1,AC83,FOX-GLOVE,,
AB1,AC84,HAY RATTLE,,
AB1,AC85,HEDGE BEDSTRAW,,
AB1,AC86,TEASEL,,
AB1,AC87,QUINOA,,
AB1,AC88,SUNFLOWER,,
AB1,AC89,CRESS,,
AB1,AC90,GLADIOLI,,
AB1,AC91,ECHIUM,,
AB1,AC92,SORGHUM,,
AB1,AC93,STICKY NIGHTSHADE,,
AB1,AC94,SWEET WILLIAMS,,
AB1,AC95,WALLFLOWER,,
AB1,AC96,SAMPHIRE,,
AB1,AC97,ASTER (CHINESE),,
AB1,AC98,LARKSPUR,,
AB1,AC99,NIGELLA,,
AB1,BF11,HALF HEDGE,,
AB1,BF15,BUFFER STRIP,,
AB1,CA01,CATCH CROP,,
AB1,CA02,COVER CROP,,
AB1,CW01,WATERCRESS,,
AB1,FA01,FALLOW,,
AB1,IW11,DRAIN/DITCH/DYKE ON A BOUNDARY,,
AB1,LG01,CHICKPEA,,
AB1,LG02,FENUGREEK,,
AB1,LG03,FIELD BEANS - SPRING,,
AB1,LG04,GREEN BEANS,,
AB1,LG05,LENTILS,,
AB1,LG06,LUPINS,,
AB1,LG07,PEAS - SPRING,,
AB1,LG08,SOYA,,
AB1,LG09,COWPEA,,
AB1,LG10,BIRD'S FOOT TREFOIL,,
AB1,LG11,LUCERNE,,
AB1,LG12,SWEET CLOVER,,
AB1,LG13,SAINFOIN,,
AB1,LG14,CLOVER,,
AB1,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
AB1,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
AB1,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
AB1,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
AB1,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
AB1,LG20,FIELD BEANS - WINTER,,
AB1,LG21,PEAS - WINTER,,
AB1,NF01,SCATTERED ROCK,,
AB1,NF02,SCATTERED BRACKEN,,
AB1,NF03,SCATTERED SCRUB,,
AB1,NF04,SCATTERED TREES,,
AB1,NF05,SCATTERED WATER FEATURES,,
AB1,NF06,SCATTERED NATURAL FEATURES,,
AB1,NF08,SCATTERED FEATURES - MIXED,,
AB1,SA01,SERVICE AREA - UNCROPPED,,
AB1,TC01,PERENNIAL CROPS,,
AB1,TG01,TEMPORARY GRASS,,
AB10,ABS01,TEMPORARY GRASS BUFFER STRIP ,,
AB10,ABS02,SOWN MIXED COVER BUFFER STRIP ,,
AB10,ABS03,FALLOW BUFFER STRIP,,
AB10,AC01,BARLEY - SPRING,,
AB10,AC02,BASIL ,,
AB10,AC03,BEET ,,
AB10,AC04,BORAGE ,,
AB10,AC05,BUCKWHEAT ,,
AB10,AC06,CANARY SEED ,,
AB10,AC07,CARROT ,,
AB10,AC08,CELERY ,,
AB10,AC09,CHICORY ,,
AB10,AC10,DAFFODIL ,,
AB10,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
AB10,AC11,DILL ,,
AB10,AC12,EVENING PRIMROSE ,,
AB10,AC13,FENNEL ,,
AB10,AC14,HEMP ,,
AB10,AC15,LETTUCE ,,
AB10,AC16,LINSEED - SPRING,,
AB10,AC17,MAIZE ,,
AB10,AC18,MILLET ,,
AB10,AC19,OATS - SPRING,,
AB10,AC20,ONIONS ,,
AB10,AC200,TEMPORARY ARABLE LAND USE CODE,,
AB10,AC21,OREGANO ,,
AB10,AC22,PARSLEY ,,
AB10,AC23,PARSNIPS ,,
AB10,AC24,RYE - SPRING,,
AB10,AC25,SAGE ,,
AB10,AC26,SPINACH ,,
AB10,AC27,STRAWBERRY ,,
AB10,AC28,SWEET POTATO ,,
AB10,AC29,THYME ,,
AB10,AC30,TRITICALE - SPRING,,
AB10,AC31,TULIP ,,
AB10,AC32,WHEAT - SPRING,,
AB10,AC33,YAM ,,
AB10,AC34,CABBAGE - SPRING,,
AB10,AC35,TURNIP ,,
AB10,AC36,OILSEED - SPRING,,
AB10,AC37,BROWN MUSTARD ,,
AB10,AC38,MUSTARD ,,
AB10,AC39,CRAMBE ,,
AB10,AC40,ROCKET ,,
AB10,AC41,RADISH ,,
AB10,AC42,HORSERADISH ,,
AB10,AC43,TOBACCO ,,
AB10,AC44,POTATO ,,
AB10,AC45,TOMATO ,,
AB10,AC46,AUBERGINE ,,
AB10,AC47,PEPPER ,,
AB10,AC48,CHILLI ,,
AB10,AC49,TREE CHILLI ,,
AB10,AC50,SQUASH ,,
AB10,AC51,JAPANESE PIE SQUASH ,,
AB10,AC52,SIAM PUMPKIN ,,
AB10,AC53,BANANA SQUASH ,,
AB10,AC54,BUTTERNUT SQUASH ,,
AB10,AC55,WATER MELON ,,
AB10,AC56,CUCUMBER ,,
AB10,AC57,MELON ,,
AB10,AC58,MIXED CROP - GROUP 1,,
AB10,AC59,MIXED CROP - GROUP 2,,
AB10,AC60,MIXED CROP - GROUP 3,,
AB10,AC61,MIXED CROP - GROUP 4,,
AB10,AC62,MIXED CROP - GROUP 5,,
AB10,AC63,BARLEY - WINTER,,
AB10,AC64,LINSEED - WINTER,,
AB10,AC65,OATS - WINTER,,
AB10,AC66,WHEAT - WINTER,,
AB10,AC67,OILSEED - WINTER,,
AB10,AC68,RYE - WINTER,,
AB10,AC69,TRITICALE - WINTER,,
AB10,AC70,CABBAGE - WINTER,,
AB10,AC71,CORIANDER,,
AB10,AC72,CORN GROMWELL,,
AB10,AC73,CAMELINA,,
AB10,AC74,PHACELIA,,
AB10,AC75,OCA,,
AB10,AC76,GERMAN CHAMOMILE,,
AB10,AC77,CORN CHAMOMILE,,
AB10,AC78,CORN COCKLE,,
AB10,AC79,CORN FLOWER,,
AB10,AC80,CORN MARIGOLD,,
AB10,AC81,POPPY,,
AB10,AC82,FIELD FOR-GET-ME-NOT,,
AB10,AC83,FOX-GLOVE,,
AB10,AC84,HAY RATTLE,,
AB10,AC85,HEDGE BEDSTRAW,,
AB10,AC86,TEASEL,,
AB10,AC87,QUINOA,,
AB10,AC88,SUNFLOWER,,
AB10,AC89,CRESS,,
AB10,AC90,GLADIOLI,,
AB10,AC91,ECHIUM,,
AB10,AC92,SORGHUM,,
AB10,AC93,STICKY NIGHTSHADE,,
AB10,AC94,SWEET WILLIAMS,,
AB10,AC95,WALLFLOWER,,
AB10,AC96,SAMPHIRE,,
AB10,AC97,ASTER (CHINESE),,
AB10,AC98,LARKSPUR,,
AB10,AC99,NIGELLA,,
AB10,BF11,HALF HEDGE,,
AB10,BF15,BUFFER STRIP,,
AB10,CA01,CATCH CROP,,
AB10,CA02,COVER CROP,,
AB10,CW01,WATERCRESS,,
