action code,land cover code,land cover class code
AB1,111,110
AB1,112,110
AB1,113,110
AB1,116,110
AB1,117,110
AB1,118,110
AB1,119,110
AB1,121,110
AB1,141,140
AB1,212,210
AB1,219,210
AB1,281,280
AB1,282,280
AB1,283,280
AB1,284,280
AB1,285,280
AB1,286,280
AB1,288,280
AB1,588,580
AB2,111,110
AB2,112,110
AB2,113,110
AB2,116,110
AB2,117,110
AB2,118,110
AB2,119,110
AB2,121,110
AB2,212,210
AB2,219,210
AB2,588,580
AB3,111,110
AB3,112,110
AB3,113,110
AB3,116,110
AB3,117,110
AB3,118,110
AB3,119,110
AB3,121,110
AB3,212,210
AB3,219,210
AB3,588,580
AB4,111,110
AB4,112,110
AB4,113,110
AB4,116,110
AB4,117,110
AB4,118,110
AB4,119,110
AB4,121,110
AB4,212,210
AB4,219,210
AB4,281,280
AB4,282,280
AB4,283,280
AB4,284,280
AB4,285,280
AB4,286,280
AB4,288,280
AB4,588,580
AB5,111,110
AB5,112,110
AB5,113,110
AB5,116,110
AB5,117,110
AB5,118,110
AB5,119,110
AB5,121,110
AB5,212,210
AB5,219,210
AB5,281,280
AB5,282,280
AB5,283,280
AB5,284,280
AB5,285,280
AB5,286,280
AB5,288,280
AB5,588,580
AB6,111,110
AB6,112,110
AB6,113,110
AB6,116,110
AB6,117,110
AB6,118,110
AB6,119,110
AB6,121,110
AB6,212,210
AB6,219,210
AB6,281,280
AB6,282,280
AB6,283,280
AB6,284,280
AB6,285,280
AB6,286,280
AB6,288,280
AB6,588,580
AB7,111,110
AB7,112,110
AB7,113,110
AB7,116,110
AB7,117,110
AB7,118,110
AB7,119,110
AB7,121,110
AB7,212,210
AB7,219,210
AB7,588,580
AB8,111,110
AB8,112,110
AB8,113,110
AB8,116,110
AB8,117,110
AB8,118,110
AB8,119,110
AB8,121,110
AB8,141,140
AB8,212,210
AB8,219,210
AB8,281,280
AB8,282,280
AB8,283,280
AB8,284,280
AB8,285,280
AB8,286,280
AB8,288,280
AB8,588,580
AB9,111,110
AB9,112,110
AB9,113,110
AB9,116,110
AB9,117,110
AB9,118,110
AB9,119,110
AB9,121,110
AB9,141,140
AB9,212,210
AB9,219,210
AB9,281,280
AB9,282,280
AB9,283,280
AB9,284,280
AB9,285,280
AB9,286,280
AB9,288,280
AB9,588,580
AB10,111,110
AB10,112,110
AB10,113,110
AB10,116,110
AB10,117,110
AB10,118,110
AB10,119,110
AB10,121,110
AB10,212,210
AB10,219,210
AB10,588,580
AB11,111,110
AB11,112,110
AB11,113,110
AB11,116,110
AB11,117,110
AB11,118,110
AB11,119,110
AB11,121,110
AB11,212,210
AB11,219,210
AB11,281,280
AB11,282,280
AB11,283,280
AB11,284,280
AB11,285,280
AB11,286,280
AB11,288,280
AB11,588,580
AB13,111,110
AB13,112,110
AB13,113,110
AB13,116,110
AB13,117,110
AB13,118,110
AB13,119,110
AB13,121,110
AB13,212,210
AB13,219,210
AB13,588,580
AB14,111,110
AB14,112,110
AB14,113,110
AB14,116,110
AB14,117,110
AB14,118,110
AB14,119,110
AB14,121,110
AB14,212,210
AB14,219,210
AB14,588,580
AB15,111,110
AB15,112,110
AB15,113,110
AB15,116,110
AB15,117,110
AB15,118,110
AB15,119,110
AB15,121,110
AB15,212,210
AB15,219,210
AB15,588,580
AB16,111,110
AB16,112,110
AB16,113,110
AB16,116,110
AB16,117,110
AB16,118,110
AB16,119,110
AB16,121,110
AB16,141,140
AB16,212,210
AB16,219,210
AB16,588,580
AGF1,111,110
AGF1,112,110
AGF1,117,110
AGF1,118,110
AGF1,121,110
AGF1,131,130
AGF1,141,140
AGF2,111,110
AGF2,112,110
AGF2,117,110
AGF2,118,110
AGF2,121,110
AGF2,131,130
AGF2,141,140
AHL1,111,110
AHL1,112,110
AHL1,117,110
AHL1,118,110
AHL1,121,110
AHL1,141,140
AHL2,111,110
AHL2,112,110
AHL2,117,110
AHL2,118,110
AHL2,121,110
AHL2,141,140
AHL3,111,110
AHL3,112,110
AHL3,117,110
AHL3,118,110
AHL3,121,110
AHL3,141,140
AHL4,111,110
AHL4,112,110
AHL4,117,110
AHL4,118,110
AHL4,121,110
AHL4,141,140
AHL4,142,140
AHW1,111,110
AHW1,112,110
AHW1,117,110
AHW1,118,110
AHW1,121,110
AHW1,141,140
AHW2,111,110
AHW2,112,110
AHW2,117,110
AHW2,118,110
AHW2,121,110
AHW2,141,140
AHW3,111,110
AHW3,112,110
AHW3,117,110
AHW3,118,110
AHW3,121,110
AHW4,111,110
AHW4,112,110
AHW4,117,110
AHW4,118,110
AHW4,121,110
AHW5,111,110
AHW5,112,110
AHW5,117,110
AHW5,118,110
AHW5,121,110
AHW6,111,110
AHW6,112,110
AHW6,117,110
AHW6,118,110
AHW6,121,110
AHW7,111,110
AHW7,112,110
AHW7,117,110
AHW7,118,110
AHW7,121,110
AHW8,111,110
AHW8,112,110
AHW8,117,110
AHW8,118,110
AHW8,121,110
AHW9,111,110
AHW9,112,110
AHW9,117,110
AHW9,118,110
AHW9,121,110
AHW10,111,110
AHW10,112,110
AHW10,117,110
AHW10,118,110
AHW10,121,110
AHW11,111,110
AHW11,112,110
AHW11,117,110
AHW11,118,110
AHW11,121,110
AHW12,111,110
AHW12,112,110
AHW12,117,110
AHW12,118,110
AHW12,121,110
AL1A,111,110
AL1A,112,110
AL1A,116,110
AL1A,117,110
AL1A,118,110
AL1A,141,140
AL1A,212,210
AL1A,219,210
AL1A,588,580
AL1B,111,110
AL1B,112,110
AL1B,116,110
AL1B,117,110
AL1B,118,110
AL1B,141,140
AL1B,212,210
AL1B,219,210
AL1B,588,580
AL2A,111,110
AL2A,112,110
AL2A,116,110
AL2A,117,110
AL2A,118,110
AL2A,141,140
AL2A,212,210
AL2A,219,210
AL2A,588,580
AL2B,111,110
AL2B,112,110
AL2B,116,110
AL2B,117,110
AL2B,118,110
AL2B,141,140
AL2B,212,210
AL2B,219,210
AL2B,588,580
AL3A,111,110
AL3A,112,110
AL3A,116,110
AL3A,117,110
AL3A,118,110
AL3A,141,140
AL3A,212,210
AL3A,219,210
AL3A,588,580
AL3B,111,110
AL3B,112,110
AL3B,116,110
AL3B,117,110
AL3B,118,110
AL3B,141,140
AL3B,212,210
AL3B,219,210
AL3B,588,580
BE1,111,110
BE1,112,110
BE1,113,110
BE1,116,110
BE1,117,110
BE1,118,110
BE1,212,210
BE1,219,210
BE1,588,580
BE2,111,110
