geom,ID,SHEET_ID,PARCEL_ID,VALID_FROM,VALID_TO,GEOM_AREA_SQM,VERIFIED_ON,VERIFICATION_TYPE,CREATED_ON,CREATED_BY,VALIDATED,CENTROID_X,CENTROID_Y,LAST_REFRESH_DATE
"POLYGON ((363468.146 446995.233,363461.5587 446999.5039,363452.2072 447002.5938,363447.9689 447003.1407,363433.5314 447002.9493,363428.09 447004.7813,363418.3556 447012.4376,363416.1681 447016.4298,363414.9376 447021.8712,363414.9759 447022.6972,363411.31 447022.1902,363406.49 447022.0802,363399.06 447021.7502,363392.61 447021.3102,363389.54 447020.6602,363384.73 447019.0102,363380.79 447018.1402,363378.61 447017.3702,363374.99 447017.0402,363374 447017.0002,363372.06 447017.1202,363369.75 447016.8302,363368.6408 447017.027,363369.175 446994.0875,363354.125 446973.4375,363347.8027 446979.9262,363344.85 446983.4125,363309.15 446988.1375,363310.1666 447009.6075,363307 447009.0002,363297 447008.0002,363295.5 447007.5002,363293.03 447007.9502,363289.89 447013.4402,363281.5 447014.5002,363281.01 447009.3502,363280.34 447009.3202,363265.77 447011.2802,363262.16 447011.7402,363260.44 447012.1002,363258.91 447012.8202,363257.1 447013.8102,363255.39 447014.7202,363253.22 447015.4402,363250.96 447015.7102,363244.18 447015.5302,363215.18 447015.8802,363168.42 447001.7702,363139.5 446967.5002,363114.5 446940.5002,363104.5 446929.5002,363100.5 446922.5002,363100.17 446921.9101,363105.59 446918.1302,363215.5 446842.0002,363182.812 446800.338,363189.7605 446796.2781,363195.08 446793.17,363207.526 446784.2325,363223.0102 446773.1133,363227.6312 446769.7949,363255.74 446749.61,363333.2 446783.43,363415.41 446777.01,363484.56 446759.49,363505.64 446769.48,363509.7157 446766.5702,363517.77 446760.82,363524.3657 446760.5243,363541.64 446759.75,363546.5 446755.5,363548.978 446751.9202,363551 446749.0002,363553.296 446745.7202,363554.5 446744,363557.5 446741,363566.53 446725.19,363567.07 446724.69,363569.5981 446726.6855,363570.84 446727.66,363566.9212 446734.5158,363561.9312 446743.2457,363561.5 446744,363558.5 446747.5,363555 446752,363550.4292 446758.3991,363551.7181 446761.3969,363540.151 446780.676,363537.109 446778.956,363536.5614 446779.5696,363535.5525 446780.7001,363533.5389 446782.9563,363529.7273 446787.2271,363526.129 446791.259,363523.9016 446795.3524,363522.77 446797.5745,363521.8735 446799.2601,363520.6051 446801.6449,363518.0215 446807.0008,363515.5495 446812.2972,363513.296 446816.924,363508.98 446823.72,363509.7812 446824.7121,363512 446827.5,363512.5 446827.5,363513.5 446829,363514.7577 446834.7886,363515.5 446838.5,363515.5 446840,363515 446841,363513.5 446842.5,363512 446842.5,363510.5 446843,363508.5 446845,363508.5 446845.5,363507.5 446847.5,363507 446849.5,363506.6287 446853.0273,363506.4189 446855.0207,363506 446859,363506 446860,363505 446863.5,363505 446864,363504 446866,363503.5 446866.5,363502.5 446867,363502 446867.5,363500 446867.5,363499.2414 446866.6121,363498.5 446865.5,363498.5 446863,363498 446861.5,363497 446860,363496 446859,363493.5 446858,363491.5 446857.5,363487.5 446857.5,363486.5 446858,363484.5 446860.5,363483.9749 446861.8129,363483.5 446863,363483 446863.5,363482.5 446864.5,363481.5 446865,363478.5 446865,363476.5 446864.5,363475.5 446864.5,363473.5 446865,363469.5 446867.5,363466.5 446870.5,363465.5 446871,363465 446872.5,363465 446873,363464.5 446874,363465 446875.5,363465 446876.5,363466 446878,363468 446879.5,363472.5 446881.5,363475 446884,363476 446886,363476 446888.5,363477 446889.5,363477.5 446890.5,363478 446891,363478 446891.5,363476.5 446893,363476 446894,363475 446895,363474 446895.5,363471 446895.5,363468.5 446896,363466 446897.5,363464 446899.5,363462.7849 446901.0188,363462 446902,363461.5 446903,363459.5 446905,363457 446906.5,363454.5 446907.5,363453.5 446907.5,363451 446908,363442.926 446904.921,363429.591 446918.06,363426.1302 446925.8889,363422.328 446934.49,363429.789 446945.762,363450.4394 446965.7066,363459.3827 446974.3442,363464.635 446979.417,363467.413 446981.322,363472.652 446982.671,363468.146 446995.233))",7801373,SD6346,3387,2025-11-14T00:00:02,9999-12-31T00:00:00,75011.56,,5000,2025-11-19T07:53:40,J.CastroQC,Y,363321.476875053,446886.611664863,2025-11-19T22:30:53
"POLYGON ((409544.730006087 371661.630031084,409556.130006087 371679.400031084,409545.960006087 371685.960031084,409545.848006087 371686.029031084,409544.460006087 371686.880031084,409533.910006087 371693.180031084,409523.160006087 371699.170031084,409512.310006087 371704.970031084,409507.800006087 371707.160031084,409497.510006087 371686.010031084,409497.850006087 371683.340031084,409509.540006087 371678.890031084,409532.480006087 371668.860031084,409544.730006087 371661.630031084))",1413264,SK0971,5268,2010-01-01T00:00:01,9999-12-31T00:00:00,1259.02,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409525.811178882,371684.196620928,2024-03-06T09:41:51
"POLYGON ((409524.640006087 371580.040031084,409524.750006087 371579.970031084,409528.000006087 371577.930031084,409539.620006087 371570.110031084,409546.597006087 371565.079031084,409546.681006087 371565.019031084,409546.750006087 371564.970031084,409567.960006087 371550.050031084,409573.140006087 371546.430031084,409622.420006087 371634.200031084,409597.410006087 371651.160031084,409597.276106087 371651.253231084,409597.116006087 371651.365031084,409590.880006087 371655.730031084,409590.795206087 371655.788331084,409567.070006087 371672.160031084,409557.120006087 371678.760031084,409556.130006087 371679.400031084,409544.730006087 371661.630031084,409570.510006087 371645.280031084,409546.120006087 371613.830031084,409535.210006087 371597.900031084,409528.410006087 371586.320031084,409526.070006087 371584.200031084,409524.640006087 371580.040031084))",1479468,SK0971,5761,2010-01-01T00:00:01,9999-12-31T00:00:00,6115.54,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409573.147806039,371610.464323157,2024-03-06T09:41:52
"POLYGON ((409615.100006087 372120.020031084,409615.740006087 372120.260031084,409609.860006087 372134.380031084,409605.250006087 372133.050031084,409603.940006087 372132.660031084,409600.240006087 372131.860031084,409596.430006087 372131.960031084,409593.730006087 372132.860031084,409591.730006087 372134.460031084,409590.490006087 372136.960031084,409587.670006087 372143.500031084,409585.390006087 372150.100031084,409584.780006087 372150.090031084,409583.640006087 372149.650031084,409581.360006087 372147.480031084,409577.630006087 372143.450031084,409577.080006087 372142.900031084,409576.080006087 372141.990031084,409574.780006087 372141.160031084,409573.250006087 372140.450031084,409571.400006087 372139.800031084,409565.920006087 372138.220031084,409540.710006087 372131.100031084,409539.360006087 372130.180031084,409537.820006087 372129.270031084,409536.520006087 372128.110031084,409535.310006087 372126.760031084,409534.210006087 372125.150031084,409528.320006087 372109.590031084,409526.090006087 372103.940031084,409525.180006087 372098.660031084,409524.930006087 372094.200031084,409524.890006087 372090.560031084,409524.850006087 372089.820031084,409603.810006087 372116.150031084,409615.100006087 372120.020031084))",1445306,SK0972,5611,2010-01-01T00:00:01,9999-12-31T00:00:00,2581.89,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409565.882049802,372119.377482327,2024-03-06T09:41:59
"POLYGON ((409437.630006087 371532.250031084,409317.060006087 371576.200031084,409297.340006087 371522.880031084,409293.170006087 371510.940031084,409265.060006087 371519.350031084,409228.900006087 371429.910031084,409230.700006087 371429.210031084,409235.250006087 371427.680031084,409238.520006087 371426.780031084,409309.000006087 371402.670031084,409346.340006087 371390.570031084,409353.940006087 371387.700031084,409379.780006087 371379.000031084,409391.750006087 371375.010031084,409392.240006087 371376.470031084,409398.230006087 371395.700031084,409403.710006087 371414.820031084,409416.900006087 371460.140031084,409429.581006087 371504.137031084,409429.586106087 371504.156031084,409429.590006087 371504.170031084,409433.240006087 371516.620031084,409433.550006087 371517.720031084,409437.630006087 371532.250031084))",1522437,SK0971,3446,2010-01-01T00:00:01,9999-12-31T00:00:00,25151.79,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409340.400119348,371474.018785487,2024-03-06T09:42:04
"POLYGON ((409620.760006087 371407.340031084,409614.900006087 371409.650031084,409605.590006087 371413.530031084,409595.390006087 371418.310031084,409585.290006087 371423.380031084,409572.390006087 371430.480031084,409556.290006087 371440.200031084,409512.910006087 371468.620031084,409466.540006087 371499.360031084,409461.340006087 371502.700031084,409458.940006087 371504.320031084,409453.040006087 371507.860031084,409448.940006087 371510.200031084,409443.950006087 371513.040031084,409441.650006087 371514.160031084,409435.950006087 371516.800031084,409433.550006087 371517.720031084,409433.240006087 371516.620031084,409429.590006087 371504.170031084,409429.586106087 371504.156031084,409429.581006087 371504.137031084,409416.900006087 371460.140031084,409403.710006087 371414.820031084,409398.230006087 371395.700031084,409392.240006087 371376.470031084,409391.750006087 371375.010031084,409440.160006087 371359.490031084,409503.860006087 371338.610031084,409550.610006087 371323.260031084,409574.580006087 371315.270031084,409593.070006087 371309.570031084,409594.420006087 371319.230031084,409594.940006087 371322.570031084,409596.810006087 371334.640031084,409599.080006087 371345.030031084,409600.620006087 371351.890031084,409602.680006087 371360.020031084,409604.930006087 371368.060031084,409607.437406087 371375.926231084,409607.490006087 371376.090031084,409610.340006087 371383.920031084,409611.870006087 371388.030031084,409613.800006087 371392.930031084,409615.930006087 371397.720031084,409618.170006087 371402.420031084,409620.600006087 371407.110031084,409620.760006087 371407.340031084))",1508036,SK0971,5039,2010-01-01T00:00:01,9999-12-31T00:00:00,25673.76,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409501.52443142,371405.180953335,2024-03-06T09:42:08
"POLYGON ((409720.100006087 371579.800031084,409719.610006087 371580.200031084,409713.280006087 371582.690031084,409710.310006087 371583.850031084,409705.460006087 371585.930031084,409697.940006087 371589.400031084,409688.840006087 371593.950031084,409668.880006087 371605.750031084,409665.910006087 371607.430031084,409661.260006087 371610.010031084,409653.360006087 371614.280031084,409645.564906087 371618.631831084,409645.550006087 371618.640031084,409625.600006087 371632.040031084,409622.420006087 371634.200031084,409573.140006087 371546.430031084,409578.540006087 371542.780031084,409593.100006087 371533.110031084,409607.960006087 371523.750031084,409623.023006087 371514.888531084,409640.570006087 371505.190031084,409640.637006087 371505.156031084,409668.500006087 371490.920031084,409672.690006087 371488.700031084,409681.290006087 371484.170031084,409686.920006087 371495.150031084,409695.896606087 371515.303531084,409695.940006087 371515.400031084,409703.090006087 371534.620031084,409706.840006087 371545.080031084,409713.070006087 371562.240031084,409713.110006087 371562.359031084,409713.270006087 371562.840031084,409720.100006087 371579.800031084))",1509713,SK0971,6455,2010-01-01T00:00:01,9999-12-31T00:00:00,12071.6,2023-04-04T00:00:00,2000,2015-03-16T10:09:16,CAPMIG,N,409648.534164346,371558.485438977,2024-03-06T09:42:20
"POLYGON ((362843.868965517 451545.65862069,362818.279310345 451531.24137931,362750.248275862 451497.137931035,362741 451492.5,362739.25862069 451491.786206897,362736.25862069 451490.55862069,362708 451479,362710.910344828 451467.45862069,362721.5 451425.5,362760 451378,362779.989655172 451389.531034483,362807.265517241 451405.268965517,362809.982758621 451406.834482759,362820.151724138 451412.7,362825 451415.5,362827.810344828 451418.637931035,362831.268965517 451422.506896552,362842 451434.5,362860.920689655 451452.320689655,362877 451467.468965517,362875.5 451468,362843.868965517 451545.65862069))",1866216,SD6251,8047,2013-12-16T00:00:00,9999-12-31T00:00:00,15727.88,2022-01-08T00:00:00,1000,2015-03-16T10:09:16,CAPMIG,N,362792.144538703,451461.473372959,2024-03-06T09:43:39
"POLYGON ((376109.379827197 453389.990015077,376108.039827197 453389.500015077,376107.839827197 453389.490015077,376104.799827197 453388.700015077,376104.409827197 453388.490015077,376101.989827197 453387.580015077,376100.529827197 453387.040015077,376099.059827197 453386.710015077,376098.921827197 453386.706015077,376097.879827197 453386.680015077,376096.899827197 453386.760015077,376095.219827197 453387.540015077,376087.929827197 453390.920015077,376070.739827197 453398.460015077,376065.339827197 453400.680015077,376040.859827197 453411.320015077,376031.099827197 453413.610015077,376015.869827197 453416.720015077,375999.999827197 453420.280015077,375999.239827197 453420.450015077,375985.269827197 453423.450015077,375985.173827197 453423.470015077,375971.899827197 453426.210015077,375969.819827197 453426.670015077,375961.609827197 453428.700015077,375954.869827197 453430.740015077,375949.239827197 453432.930015077,375943.129827197 453436.220015077,375937.649827197 453439.350015077,375930.129827197 453444.520015077,375921.829827197 453451.260015077,375906.379827197 453463.160015077,375905.679827197 453463.590015077,375896.929827197 453469.110015077,375894.109827197 453470.520015077,375891.759827197 453470.680015077,375858.529827197 453471.920015077,375846.679827197 453472.680015077,375844.209827197 453472.820015077,375840.889827197 453472.880015077,375840.549827197 453472.870015077,375838.639827197 453472.430015077,375837.039827197 453472.090015077,375833.829827197 453471.110015077,375830.819827197 453470.140015077,375829.209827197 453469.710015077,375825.099827197 453468.720015077,375822.439827197 453468.130015077,375807.619827197 453468.590015077,375798.519827197 453469.480015077,375794.779827197 453459.240015077,375793.749827197 453455.830015077,375790.189827197 453447.070015077,375790.089827197 453446.870015077,375784.139827197 453434.660015077,375779.209827197 453424.660015077,375774.579827197 453415.790015077,375773.269827197 453413.090015077,375769.749827197 453406.720015077,375758.929827197 453384.730015077,375752.129827197 453370.690015077,375747.832827197 453361.804015077,375747.794827197 453361.726015077,375745.629827197 453357.250015077,375741.416827197 453348.085015077,375741.349827197 453347.940015077,375738.099827197 453339.810015077,375736.469827197 453334.640015077,375729.689827197 453313.310015077,375725.989827197 453301.990015077,375723.159827197 453293.300015077,375718.219827197 453278.440015077,375712.675827197 453259.503015077,375712.664827197 453259.467015077,375711.989827197 453257.160015077,375712.539827197 453256.280015077,375713.369827197 453255.080015077,375715.379827197 453252.790015077,375716.509827197 453251.600015077,375719.789827197 453249.790015077,375723.979827197 453248.440015077,375728.159827197 453247.400015077,375732.049827197 453246.950015077,375738.769827197 453247.100015077,375753.269827197 453247.840015077,375761.189827197 453247.990015077,375763.729827197 453248.740015077,375765.969827197 453249.940015077,375768.059827197 453250.240015077,375812.599827197 453252.950015077,375817.659827197 453253.210015077,375817.879827197 453253.220015077,375833.820827197 453253.989015077,375834.039827197 453254.000015077,375840.359827197 453254.000015077,375845.979827197 453253.890015077,375850.899827197 453253.600015077,375853.009827197 453253.400015077,375857.079827197 453252.830015077,375877.459827197 453249.980015077,375942.009827197 453238.970015077,375950.859827197 453237.580015077,375953.869827197 453237.100015077,375957.385827197 453236.452015077,375957.448827197 453236.440015077,375957.559827197 453236.420015077,375958.859827197 453235.830015077,375960.159827197 453235.050015077,375962.319827197 453237.150015077,375963.669827197 453237.960015077,375965.345827197 453239.163015077,375965.439827197 453239.230015077,375967.989827197 453240.890015077,375969.509827197 453242.090015077,375987.369827197 453259.380015077,375997.049827197 453269.610015077,375999.909827197 453271.950015077,375999.999827197 453272.010015077,376001.639827197 453273.150015077,376020.499827197 453282.850015077,376032.569827197 453289.180015077,376034.749827197 453290.410015077,376056.159827197 453302.030015077,376058.819827197 453303.830015077,376059.889827197 453305.090015077,376063.419827197 453311.810015077,376081.279827197 453345.720015077,376081.713827197 453346.632015077,376081.720827197 453346.647015077,376084.569827197 453352.630015077,376085.649827197 453354.660015077,376087.449827197 453357.200015077,376088.499827197 453358.470015077,376089.659827197 453359.870015077,376091.079827197 453361.510015077,376093.909827197 453364.620015077,376096.619827197 453367.920015077,376098.569827197 453370.970015077,376101.169827197 453375.210015077,376101.889827197 453376.470015077,376102.559827197 453378.080015077,376102.979827197 453379.300015077,376103.399827197 453381.430015077,376103.669827197 453383.980015077,376109.509827197 453383.910015077,376112.019827197 453383.820015077,376110.119827197 453388.230015077,376109.379827197 453389.990015077))",1903809,SD7553,8936,2010-01-01T00:00:01,9999-12-31T00:00:00,61653.26,2022-06-23T00:00:00,3000,2015-03-16T10:09:16,CAPMIG,N,375895.405400042,453347.663947434,2024-03-06T09:43:48
"POLYGON ((372989.179827197 446913.400015077,372983.379827197 446928.150015077,372978.927827197 446938.180015077,372978.918827197 446938.199015077,372978.829827197 446938.400015077,372968.017827197 446959.269015077,372968.008827197 446959.287015077,372967.809827197 446959.670015077,372958.219827197 446977.960015077,372952.799827197 446988.340015077,372946.469827197 446999.730015077,372946.329827197 447000.000015077,372946.308827197 447000.040015077,372929.699827197 447032.100015077,372927.709827197 447035.720015077,372927.039827197 447036.950015077,372906.929827197 447019.390015077,372891.049827197 447006.480015077,372883.389827197 447000.000015077,372882.359827197 446999.120015077,372845.409827197 446966.540015077,372812.879827197 446938.970015077,372813.429827197 446936.550015077,372814.009827197 446934.340015077,372814.809827197 446931.410015077,372818.589827197 446920.380015077,372818.159827197 446918.990015077,372816.849827197 446915.200015077,372816.399827197 446914.030015077,372816.029827197 446912.760015077,372811.119827197 446899.750015077,372809.889827197 446896.410015077,372797.419827197 446863.760015077,372795.729827197 446859.300015077,372790.469827197 446845.090015077,372782.429827197 446823.630015077,372781.809827197 446821.990015077,372773.349827197 446800.580015077,372772.149827197 446797.760015077,372771.889827197 446796.160015077,372772.499827197 446792.870015077,372772.529827197 446792.360015077,372772.709827197 446791.610015077,372772.759827197 446790.770015077,372772.779827197 446790.720015077,372772.842827197 446790.495015077,372773.799827197 446787.110015077,372775.179827197 446781.710015077,372776.749827197 446776.080015077,372776.969827197 446775.390015077,372779.009827197 446769.710015077,372780.329827197 446766.460015077,372782.449827197 446761.830015077,372789.109827197 446748.090015077,372792.069827197 446741.310015077,372798.599827197 446724.200015077,372805.239827197 446705.470015077,372810.689827197 446688.200015077,372813.449827197 446680.000015077,372814.979827197 446675.160015077,372818.399827197 446663.950015077,372822.189827197 446650.100015077,372825.329827197 446639.380015077,372826.269827197 446635.150015077,372826.559827197 446634.130015077,372827.679827197 446630.920015077,372830.209827197 446625.800015077,372834.329827197 446618.570015077,372841.009827197 446605.510015077,372844.809827197 446597.610015077,372861.019827197 446563.850015077,372888.929827197 446505.280015077,372890.369827197 446503.320015077,372891.089827197 446502.350015077,372891.779827197 446502.030015077,372892.959827197 446501.760015077,372894.059827197 446501.360015077,372894.619827197 446499.880015077,372895.449827197 446500.750015077,372896.419827197 446501.950015077,372898.339827197 446504.160015077,372898.929827197 446504.760015077,372899.499827197 446505.460015077,372900.079827197 446506.060015077,372901.429827197 446507.770015077,372902.399827197 446508.580015077,372902.639827197 446508.810015077,372907.439827197 446513.380015077,372916.269827197 446519.840015077,372929.319827197 446529.460015077,372934.329827197 446533.540015077,372938.019827197 446537.230015077,372941.969827197 446542.640015077,372945.789827197 446547.910015077,372953.699827197 446555.950015077,372961.609827197 446560.960015077,372970.179827197 446566.360015077,372971.643827197 446567.586015077,372971.713827197 446567.645015077,372975.849827197 446571.110015077,372983.489827197 446577.430015077,372989.542827197 446581.588015077,372989.617827197 446581.640015077,372996.939827197 446586.670015077,372999.999827197 446589.020015077,373004.399827197 446592.400015077,373010.029827197 446596.070015077,373013.749827197 446598.610015077,373019.639827197 446602.380015077,373025.779827197 446606.320015077,373029.009827197 446608.260015077,373034.969827197 446612.170015077,373038.069827197 446614.690015077,373045.059827197 446618.500015077,373051.119827197 446621.720015077,373052.529827197 446622.480015077,373089.179827197 446643.210015077,373094.689827197 446646.330015077,373111.189827197 446654.770015077,373132.449827197 446665.330015077,373131.949827197 446668.130015077,373131.329827197 446670.450015077,373130.239827197 446672.810015077,373129.089827197 446674.990015077,373113.849827197 446700.930015077,373113.689827197 446701.230015077,373107.849827197 446708.820015077,373093.799827197 446726.890015077,373093.579827197 446727.180015077,373087.689827197 446736.520015077,373082.279827197 446745.850015077,373073.689827197 446760.010015077,373070.399827197 446765.520015077,373064.599827197 446775.580015077,373060.749827197 446782.390015077,373057.369827197 446788.500015077,373046.229827197 446808.700015077,373045.602827197 446809.849015077,373045.589827197 446809.872015077,373028.059827197 446841.970015077,373027.369827197 446843.220015077,373027.354827197 446843.247015077,372999.999827197 446892.790015077,372997.099827197 446898.050015077,372997.063827197 446898.118015077,372990.169827197 446911.080015077,372989.179827197 446913.400015077))",1872529,SD7246,9177,2010-01-01T00:00:01,9999-12-31T00:00:00,102237.69,2022-06-23T00:00:00,3000,2015-03-16T10:09:16,CAPMIG,N,372928.996440967,446760.48375412,2024-03-06T09:43:49
